- 5, 9, 12, 28, 36, 43
- 3, 13, 11, 18, 41, 49
- 7, 9, 17, 22, 33, 36
- 9, 17, 22, 47, 48, 49
- 2, 4, 13, 23, 33, 47
- 10, 18, 24, 25, 33, 37
- 5, 11, 23, 31, 42, 49
- 14, 22, 29, 37, 41, 48
- 3, 6, 9, 21, 36, 41
- 2, 4, 9, 12, 25, 30
- 9, 11, 17, 25, 28, 40
- 1, 9, 13, 16, 23, 44
- 9, 34, 35, 36, 38, 46
- 7, 12, 20, 29, 38, 44
- 5, 22, 28, 36, 47, 49
- 3, 8, 10, 11, 17, 30
- 2, 3, 6, 18, 23, 42
- 6, 10, 12, 20, 21, 36
- 10, 11, 22, 37, 41, 47
- 9, 13, 17, 25, 36, 49
- 1, 4, 15, 22, 27, 34
- 2, 13, 20, 27, 37, 49
- 3, 8, 19, 32, 44, 49
- 1, 6, 11, 18, 28, 36
- 5, 12, 17, 29, 46, 47
- 12, 15, 16, 28, 30, 38
- 5, 12, 18, 24, 31, 48
- 9, 18, 20, 25, 32, 41
